Gene,targetId,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,tissueSpecificity,tissueDistribution,maxClinicalTrialPhase,Priority
MAL,ENSG00000172005,0.0,0.0,0.0,0.0,0.0,0.346405,0.0,0.5,0.0,0.0,0.8464050000000001
SLC11A1,ENSG00000018280,0.0,0.0,0.0,0.0,0.0,0.3454549999999997,0.0,0.5,0.0,0.0,0.8454549999999996
AIMP2,ENSG00000106305,0.0,0.0,0.0,1.0,0.0,0.34375,0.0,0.5,-1.0,0.0,0.84375
OSCP1,ENSG00000116885,1.0,0.0,0.0,0.0,0.0,0.34037,0.0,0.5,-1.0,0.0,0.8403700000000001
ADIPOR1,ENSG00000159346,1.0,0.0,0.0,1.0,0.0,0.8399999999999999,0.0,-1.0,-1.0,0.0,0.8399999999999999
ING2,ENSG00000168556,0.0,0.0,1.0,1.0,0.0,0.8392850000000003,0.0,-1.0,-1.0,0.0,0.8392850000000003
FAM83H,ENSG00000180921,0.0,0.0,0.0,0.0,0.0,0.33842,0.0,0.5,0.0,0.0,0.8384199999999999
USP14,ENSG00000101557,1.0,0.0,0.0,1.0,0.0,0.838055,0.0,-1.0,-1.0,0.0,0.8380549999999998
SLIT2,ENSG00000145147,0.0,1.0,0.0,0.0,0.0,0.836495,0.0,-1.0,0.0,0.0,0.836495
IP6K2,ENSG00000068745,0.0,0.0,1.0,1.0,0.0,0.83568,0.0,-1.0,-1.0,0.0,0.83568
MLLT11,ENSG00000213190,0.0,0.0,0.0,0.0,0.0,0.3333350000000002,0.0,0.5,0.0,0.0,0.8333350000000002
SLC7A1,ENSG00000139514,1.0,0.0,0.0,0.0,0.0,0.3322749999999999,0.0,0.5,-1.0,0.0,0.8322749999999999
MAP3K3,ENSG00000198909,0.0,0.0,1.0,1.0,0.0,0.8322699999999997,0.0,-1.0,-1.0,0.0,0.8322699999999998
CERT1,ENSG00000113163,0.0,0.0,0.0,1.0,1.0,0.8317300000000003,0.0,-1.0,-1.0,0.0,0.8317300000000003
NDUFA8,ENSG00000119421,0.0,0.0,0.0,0.0,0.0,0.3313949999999998,0.0,0.5,-1.0,1.0,0.8313949999999998
SLC29A4,ENSG00000164638,0.0,0.0,0.0,0.0,0.0,0.3301900000000003,0.0,0.5,0.0,0.0,0.8301900000000003
RGS1,ENSG00000090104,1.0,0.0,0.0,0.0,0.0,0.3301450000000002,0.0,0.5,-1.0,0.0,0.8301450000000001
NDUFB9,ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.3296100000000003,0.0,0.5,-1.0,1.0,0.8296100000000003
YARS1,ENSG00000134684,0.0,0.0,0.0,1.0,1.0,0.8295450000000002,0.0,-1.0,-1.0,0.0,0.8295450000000004
HDC,ENSG00000140287,0.0,0.0,0.0,0.0,0.0,0.3277949999999997,0.0,0.5,0.0,0.0,0.8277949999999997
ACADL,ENSG00000115361,0.0,0.0,0.0,0.0,0.0,0.3255800000000001,0.0,0.5,0.0,0.0,0.8255800000000001
DUSP1,ENSG00000120129,0.0,0.0,1.0,1.0,0.0,0.8228900000000003,0.0,-1.0,-1.0,0.0,0.8228900000000001
EZR,ENSG00000092820,1.0,0.0,0.0,1.0,0.0,0.8208199999999998,0.0,-1.0,-1.0,0.0,0.8208199999999999
SNCAIP,ENSG00000064692,0.0,0.0,0.0,0.0,0.0,0.3199150000000003,0.0,0.5,0.0,0.0,0.8199150000000003
ANKRD22,ENSG00000152766,0.0,0.0,0.0,0.0,0.0,0.31937,0.0,0.5,0.0,0.0,0.8193699999999999
NDUFS7,ENSG00000115286,0.0,0.0,0.0,0.0,0.0,0.3192500000000002,0.0,0.5,-1.0,1.0,0.8192500000000003
SLC39A14,ENSG00000104635,1.0,0.0,0.0,0.0,0.0,0.3191049999999997,0.0,0.5,-1.0,0.0,0.8191049999999997
PACRG,ENSG00000112530,0.0,0.0,0.0,0.0,0.0,0.3190649999999998,0.0,0.5,0.0,0.0,0.8190649999999998
STC1,ENSG00000159167,0.0,1.0,0.0,0.0,0.0,0.8178150000000002,0.0,-1.0,0.0,0.0,0.8178150000000002
AFF2,ENSG00000155966,0.0,0.0,0.0,0.0,0.0,0.3173149999999999,0.0,0.5,0.0,0.0,0.8173149999999999
CRY1,ENSG00000008405,0.0,0.0,1.0,1.0,0.0,0.8122849999999999,0.0,-1.0,-1.0,0.0,0.8122850000000001
GPR37,ENSG00000170775,0.0,0.0,0.0,0.0,0.0,0.0619900000000001,0.0,0.75,0.0,0.0,0.8119900000000001
SIRT1,ENSG00000096717,0.0,0.0,1.0,1.0,0.0,0.310575,0.0,-1.0,-1.0,0.5,0.810575
TIMP3,ENSG00000100234,0.0,1.0,0.0,1.0,0.0,0.8104250000000001,0.0,-1.0,-1.0,0.0,0.810425
ING3,ENSG00000071243,0.0,0.0,0.0,0.0,0.0,0.8086100000000002,0.0,1.0,-1.0,0.0,0.8086100000000003
TRIM33,ENSG00000197323,0.0,0.0,1.0,1.0,0.0,0.8047899999999999,0.0,-1.0,-1.0,0.0,0.8047899999999997
HSPE1,ENSG00000115541,0.0,0.0,1.0,1.0,0.0,0.8039200000000001,0.0,-1.0,-1.0,0.0,0.8039200000000002
RABGGTB,ENSG00000137955,0.0,0.0,1.0,1.0,0.0,0.8036250000000003,0.0,-1.0,-1.0,0.0,0.8036250000000003
PSMD4,ENSG00000159352,0.0,0.0,1.0,0.0,0.0,0.8010599999999997,0.0,-1.0,-1.0,1.0,0.8010599999999997
ARSI,ENSG00000183876,0.0,1.0,0.0,0.0,0.0,0.7978900000000003,0.0,-1.0,0.0,0.0,0.7978900000000002
NUCB2,ENSG00000070081,0.0,1.0,0.0,0.0,0.0,0.2976199999999999,0.0,0.5,-1.0,0.0,0.7976199999999998
SLC36A1,ENSG00000123643,1.0,0.0,0.0,0.0,0.0,0.2962200000000002,0.0,0.5,-1.0,0.0,0.7962200000000001
NDUFAB1,ENSG00000004779,0.0,0.0,0.0,0.0,0.0,0.2948700000000002,0.0,0.5,-1.0,1.0,0.7948700000000002
CREB5,ENSG00000146592,1.0,0.0,0.0,0.0,0.0,0.7933050000000001,0.0,-1.0,0.0,0.0,0.7933050000000001
AKAP6,ENSG00000151320,0.0,0.0,0.0,0.0,0.0,0.0426900000000003,0.0,0.75,0.0,0.0,0.7926900000000003
CARD9,ENSG00000187796,0.0,0.0,0.0,0.0,0.0,0.2910449999999997,0.0,0.5,0.0,0.0,0.7910449999999998
MBTPS1,ENSG00000140943,0.0,0.0,1.0,1.0,0.0,0.7908749999999998,0.0,-1.0,-1.0,0.0,0.7908749999999998
NDUFB10,ENSG00000140990,0.0,0.0,0.0,0.0,0.0,0.0406999999999996,0.0,0.75,-1.0,1.0,0.7906999999999996
LGR5,ENSG00000139292,0.0,0.0,0.0,0.0,0.0,0.2888649999999998,0.0,0.5,0.0,0.0,0.7888649999999998
HBEGF,ENSG00000113070,0.0,1.0,0.0,0.0,0.0,0.0384599999999999,0.0,0.5,-1.0,0.25,0.7884599999999999
TMTC2,ENSG00000179104,1.0,0.0,0.0,0.0,0.0,0.7846899999999998,0.0,-1.0,0.0,0.0,0.7846899999999999
OSBP,ENSG00000110048,0.0,0.0,1.0,1.0,0.0,0.7831449999999996,0.0,-1.0,-1.0,0.0,0.7831449999999998
AK7,ENSG00000140057,0.0,0.0,0.0,0.0,0.0,0.2807749999999999,0.0,0.5,0.0,0.0,0.7807749999999999
HERC2,ENSG00000128731,1.0,0.0,0.0,0.0,0.0,0.7807200000000002,0.0,-1.0,0.0,0.0,0.7807200000000001
FKBP7,ENSG00000079150,0.0,0.0,0.0,0.0,0.0,0.27928,0.0,0.5,0.0,0.0,0.77928
UBA1,ENSG00000130985,0.0,0.0,0.0,1.0,0.0,0.7778849999999998,1.0,-1.0,-1.0,0.0,0.7778849999999999
TAOK3,ENSG00000135090,0.0,0.0,1.0,1.0,0.0,0.7772849999999998,0.0,-1.0,-1.0,0.0,0.777285
MSRA,ENSG00000175806,0.0,0.0,0.0,0.0,0.0,0.2765949999999996,0.0,0.5,0.0,0.0,0.7765949999999996
RXFP2,ENSG00000133105,1.0,0.0,0.0,1.0,0.0,0.0252000000000002,0.0,-1.0,-1.0,0.75,0.7752000000000003
PRDX1,ENSG00000117450,0.0,0.0,1.0,1.0,0.0,0.7738700000000002,0.0,-1.0,-1.0,0.0,0.7738700000000001
SLC22A5,ENSG00000197375,0.0,0.0,0.0,0.0,0.0,0.2728900000000003,0.0,0.5,0.0,0.0,0.7728900000000003
RICTOR,ENSG00000164327,0.0,0.0,1.0,1.0,0.0,0.7716650000000002,0.0,-1.0,-1.0,0.0,0.771665
WNT2B,ENSG00000134245,0.0,1.0,0.0,0.0,0.0,0.76982,0.0,-1.0,0.0,0.0,0.76982
PTPRF,ENSG00000142949,0.0,0.0,1.0,1.0,0.0,0.7692700000000002,0.0,-1.0,-1.0,0.0,0.7692700000000001
ANGPTL2,ENSG00000136859,0.0,1.0,0.0,0.0,0.0,0.7667349999999999,0.0,-1.0,0.0,0.0,0.7667349999999999
PTPRU,ENSG00000060656,1.0,0.0,0.0,0.0,0.0,0.7667149999999999,0.0,-1.0,0.0,0.0,0.766715
LYST,ENSG00000143669,1.0,0.0,0.0,0.0,0.0,0.2659849999999998,0.0,0.5,-1.0,0.0,0.7659849999999997
P4HA1,ENSG00000122884,0.0,0.0,1.0,1.0,0.0,0.7659199999999998,0.0,-1.0,-1.0,0.0,0.7659199999999999
ABCA1,ENSG00000165029,1.0,0.0,0.0,0.0,0.0,0.7655900000000002,0.0,-1.0,-1.0,1.0,0.7655900000000002
ACOX1,ENSG00000161533,0.0,0.0,0.0,1.0,0.0,0.2651499999999999,0.0,0.5,-1.0,0.0,0.7651499999999998
CHUK,ENSG00000213341,0.0,0.0,1.0,1.0,0.0,0.7651000000000003,0.0,-1.0,-1.0,0.0,0.7651000000000003
SYBU,ENSG00000147642,0.0,0.0,0.0,0.0,0.0,0.2609349999999999,0.0,0.5,0.0,0.0,0.7609349999999999
PRKD2,ENSG00000105287,0.0,0.0,1.0,1.0,0.0,0.7608199999999996,0.0,-1.0,-1.0,0.0,0.7608199999999998
FHL5,ENSG00000112214,0.0,0.0,0.0,0.0,0.0,0.2605649999999997,0.0,0.5,0.0,0.0,0.7605649999999997
NEFH,ENSG00000100285,0.0,0.0,0.0,0.0,0.0,0.009805,0.0,0.75,0.0,0.0,0.759805
PRP4K,ENSG00000112739,0.0,0.0,1.0,1.0,0.0,0.7567050000000002,0.0,-1.0,-1.0,0.0,0.7567050000000002
MYCN,ENSG00000134323,0.0,0.0,0.0,0.0,0.0,0.256465,0.0,0.5,0.0,0.0,0.7564649999999999
SLC22A4,ENSG00000197208,0.0,0.0,0.0,0.0,0.0,0.2558999999999997,0.0,0.5,0.0,0.0,0.7558999999999997
DNM1L,ENSG00000087470,0.0,0.0,1.0,1.0,0.0,0.755435,0.0,-1.0,-1.0,0.0,0.7554349999999999
FKBP2,ENSG00000173486,1.0,0.0,0.0,1.0,0.0,0.7535200000000003,0.0,-1.0,-1.0,0.0,0.7535200000000004
PSMG1,ENSG00000183527,0.0,0.0,0.0,1.0,0.0,0.2534700000000001,0.0,0.5,-1.0,0.0,0.7534700000000001
FBLN1,ENSG00000077942,0.0,1.0,0.0,0.0,0.0,0.2531999999999996,0.0,0.5,-1.0,0.0,0.7531999999999996
TMEM232,ENSG00000186952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
DDX43,ENSG00000080007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
NNAT,ENSG00000053438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
SIGLEC11,ENSG00000161640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
SPTBN5,ENSG00000137877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
TARP,ENSG00000289746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
NUSAP1,ENSG00000137804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
TMEM238L,ENSG00000263429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
CD47,ENSG00000196776,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.75,0.75
MKI67,ENSG00000148773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
TRIM17,ENSG00000162931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
CLEC7A,ENSG00000172243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,-1.0,0.0,0.75
TFRC,ENSG00000072274,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.75,0.75
CYP27A1,ENSG00000135929,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,-1.0,0.0,0.75
SELENOP,ENSG00000250722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,-1.0,0.0,0.75
COX6A2,ENSG00000156885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
EGF,ENSG00000138798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
LY6E,ENSG00000160932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.25,0.75
APOE,ENSG00000130203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,-1.0,0.0,0.75
PDLIM3,ENSG00000154553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
NEFM,ENSG00000104722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
HSPA8,ENSG00000109971,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.75,0.75
PDLIM5,ENSG00000163110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,-1.0,0.0,0.75
P2RX6,ENSG00000099957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
NDUFC1,ENSG00000109390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,-1.0,1.0,0.75
TP53,ENSG00000141510,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.75,0.75
CDCA5,ENSG00000146670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
SEPTIN4,ENSG00000108387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75
ZNF628,ENSG00000197483,0.0,0.0,0.0,0.0,0.0,0.2492899999999998,0.0,0.5,0.0,0.0,0.7492899999999998
ABI3,ENSG00000108798,0.0,0.0,0.0,0.0,0.0,0.2486350000000001,0.0,0.5,0.0,0.0,0.7486350000000002
SGCE,ENSG00000127990,1.0,0.0,0.0,0.0,0.0,0.7482849999999999,0.0,-1.0,0.0,0.0,0.7482849999999999
THRSP,ENSG00000151365,0.0,0.0,0.0,0.0,0.0,0.246575,0.0,0.5,0.0,0.0,0.746575
PTPRA,ENSG00000132670,0.0,0.0,1.0,1.0,0.0,0.7443899999999999,0.0,-1.0,-1.0,0.0,0.7443900000000001
ABHD5,ENSG00000011198,0.0,0.0,1.0,1.0,0.0,0.7421199999999999,0.0,-1.0,-1.0,0.0,0.7421199999999999
NUP155,ENSG00000113569,0.0,0.0,0.0,0.0,0.0,0.7411949999999997,0.0,1.0,-1.0,0.0,0.7411949999999998
GPC4,ENSG00000076716,1.0,0.0,0.0,0.0,0.0,0.7392099999999999,0.0,-1.0,0.0,0.0,0.7392099999999999
PHF8,ENSG00000172943,0.0,0.0,1.0,1.0,0.0,0.7363300000000003,0.0,-1.0,-1.0,0.0,0.7363300000000002
SRM,ENSG00000116649,0.0,0.0,0.0,1.0,1.0,0.7350999999999999,0.0,-1.0,-1.0,0.0,0.7351000000000001
ATG4B,ENSG00000168397,0.0,0.0,1.0,1.0,0.0,0.7328249999999997,0.0,-1.0,-1.0,0.0,0.7328249999999996
RGS16,ENSG00000143333,0.0,0.0,0.0,1.0,0.0,0.2326749999999997,0.0,0.5,-1.0,0.0,0.7326749999999997
TPM2,ENSG00000198467,0.0,0.0,0.0,0.0,0.0,0.9823950000000004,0.0,0.75,-1.0,0.0,0.7323950000000004
EDA,ENSG00000158813,0.0,1.0,0.0,0.0,0.0,0.7314599999999999,0.0,-1.0,0.0,0.0,0.7314599999999998
NCF2,ENSG00000116701,0.0,0.0,0.0,0.0,0.0,0.2300400000000003,0.0,0.5,0.0,0.0,0.7300400000000002
TBC1D32,ENSG00000146350,0.0,0.0,0.0,0.0,0.0,0.22832,0.0,0.5,0.0,0.0,0.72832
EFEMP1,ENSG00000115380,0.0,1.0,0.0,0.0,0.0,0.7261650000000003,0.0,-1.0,0.0,0.0,0.7261650000000004
CRY2,ENSG00000121671,0.0,0.0,1.0,1.0,0.0,0.7217550000000003,0.0,-1.0,-1.0,0.0,0.7217550000000004
MTCP1,ENSG00000214827,1.0,0.0,0.0,0.0,0.0,0.719625,0.0,-1.0,0.0,0.0,0.719625
CCDC18,ENSG00000122483,0.0,0.0,0.0,0.0,0.0,0.2164949999999997,0.0,0.5,0.0,0.0,0.7164949999999997
PPID,ENSG00000171497,0.0,0.0,1.0,1.0,0.0,0.7162149999999997,0.0,-1.0,-1.0,0.0,0.7162149999999996
ACADVL,ENSG00000072778,0.0,0.0,0.0,1.0,0.0,0.2137399999999999,0.0,0.5,-1.0,0.0,0.7137399999999998
RCN1,ENSG00000049449,0.0,0.0,0.0,0.0,0.0,0.7129899999999999,0.0,1.0,-1.0,0.0,0.71299
FGF10,ENSG00000070193,0.0,1.0,0.0,0.0,0.0,0.7115400000000001,0.0,-1.0,0.0,0.0,0.7115400000000001
ADAMTS10,ENSG00000142303,0.0,1.0,0.0,0.0,0.0,0.7098799999999997,0.0,-1.0,0.0,0.0,0.7098799999999996
POU5F1,ENSG00000204531,0.0,0.0,0.0,0.0,0.0,0.2083350000000003,0.0,0.5,0.0,0.0,0.7083350000000003
HCLS1,ENSG00000180353,1.0,0.0,0.0,0.0,0.0,0.2078200000000002,0.0,0.5,-1.0,0.0,0.7078200000000001
GPRC5B,ENSG00000167191,0.0,0.0,0.0,0.0,0.0,0.2059550000000001,0.0,0.5,0.0,0.0,0.7059550000000001
DPAGT1,ENSG00000172269,0.0,0.0,1.0,1.0,0.0,0.7058799999999998,0.0,-1.0,-1.0,0.0,0.7058799999999996
CD36,ENSG00000135218,0.0,0.0,0.0,0.0,0.0,0.2055100000000003,0.0,0.5,0.0,0.0,0.7055100000000003
ACAT1,ENSG00000075239,0.0,0.0,0.0,0.0,1.0,0.2037449999999999,0.0,0.5,-1.0,0.0,0.7037449999999998
ULK3,ENSG00000140474,0.0,0.0,1.0,1.0,0.0,0.7033900000000003,0.0,-1.0,-1.0,0.0,0.7033900000000002
GAS1,ENSG00000180447,0.0,0.0,0.0,0.0,0.0,0.2029000000000003,0.0,0.5,0.0,0.0,0.7029000000000003
SLIT3,ENSG00000184347,0.0,1.0,0.0,0.0,0.0,0.7012450000000001,0.0,-1.0,0.0,0.0,0.7012450000000001
ERO1B,ENSG00000086619,0.0,0.0,0.0,0.0,0.0,0.700215,0.0,1.0,-1.0,0.0,0.700215
ASL,ENSG00000126522,0.0,0.0,0.0,0.0,0.0,0.6982750000000003,0.0,1.0,-1.0,0.0,0.6982750000000002
TPM3,ENSG00000143549,0.0,0.0,0.0,0.0,0.0,0.94737,0.0,0.75,-1.0,0.0,0.69737
NAIF1,ENSG00000171169,1.0,0.0,0.0,0.0,0.0,0.6941899999999996,0.0,-1.0,0.0,0.0,0.6941899999999996
CAPN2,ENSG00000162909,0.0,0.0,1.0,1.0,0.0,0.6928550000000001,0.0,-1.0,-1.0,0.0,0.6928550000000002
AKT1S1,ENSG00000204673,0.0,0.0,1.0,1.0,0.0,0.6875,0.0,-1.0,-1.0,0.0,0.6875
CIB1,ENSG00000185043,1.0,0.0,0.0,1.0,0.0,0.6858649999999997,0.0,-1.0,-1.0,0.0,0.6858649999999997
PLEKHM1,ENSG00000225190,0.0,0.0,0.0,0.0,0.0,0.1856050000000003,0.0,0.5,0.0,0.0,0.6856050000000002
ATP10B,ENSG00000118322,0.0,0.0,0.0,0.0,0.0,0.18549,0.0,0.5,0.0,0.0,0.6854899999999999
FOS,ENSG00000170345,0.0,0.0,1.0,1.0,0.0,0.6842100000000002,0.0,-1.0,-1.0,0.0,0.6842100000000002
GGPS1,ENSG00000152904,0.0,0.0,1.0,1.0,0.0,0.6833350000000002,0.0,-1.0,-1.0,0.0,0.6833350000000005
PRKN,ENSG00000185345,0.0,0.0,0.0,0.0,0.0,0.1827950000000001,0.0,0.5,0.0,0.0,0.682795
PIK3C2B,ENSG00000133056,0.0,0.0,1.0,1.0,0.0,0.6817650000000001,0.0,-1.0,-1.0,0.0,0.681765
SC5D,ENSG00000109929,1.0,0.0,0.0,0.0,0.0,0.1805999999999997,0.0,0.5,-1.0,0.0,0.6805999999999996
GSTO2,ENSG00000065621,0.0,0.0,0.0,0.0,0.0,0.1769550000000002,0.0,0.5,0.0,0.0,0.6769550000000002
STAT1,ENSG00000115415,0.0,0.0,1.0,1.0,0.0,0.6733350000000001,0.0,-1.0,-1.0,0.0,0.6733350000000002
SNCG,ENSG00000173267,0.0,0.0,0.0,0.0,0.0,0.1732300000000002,0.0,0.5,0.0,0.0,0.6732300000000002
PLEKHH1,ENSG00000054690,0.0,0.0,0.0,0.0,0.0,0.171555,0.0,0.5,0.0,0.0,0.671555
COL8A1,ENSG00000144810,0.0,1.0,0.0,0.0,0.0,0.6707000000000001,0.0,-1.0,0.0,0.0,0.6707000000000001
GPX4,ENSG00000167468,0.0,0.0,1.0,1.0,0.0,0.6700499999999998,0.0,-1.0,-1.0,0.0,0.6700499999999998
RENBP,ENSG00000102032,0.0,0.0,0.0,0.0,0.0,0.1686199999999999,0.0,0.5,0.0,0.0,0.6686199999999999
LMOD1,ENSG00000163431,0.0,0.0,0.0,0.0,0.0,0.1666649999999997,0.0,0.5,0.0,0.0,0.6666649999999997
ABCA2,ENSG00000107331,0.0,0.0,0.0,0.0,0.0,0.6654350000000001,0.0,1.0,-1.0,0.0,0.665435
SATB1,ENSG00000182568,0.0,0.0,0.0,0.0,0.0,0.91481,0.0,0.75,-1.0,0.0,0.6648100000000001
VDAC3,ENSG00000078668,0.0,0.0,0.0,0.0,0.0,0.9116599999999998,0.0,0.75,-1.0,0.0,0.6616599999999999
SORL1,ENSG00000137642,1.0,1.0,0.0,0.0,0.0,0.6612450000000003,0.0,-1.0,-1.0,0.0,0.6612450000000001
PNPLA2,ENSG00000177666,0.0,0.0,0.0,1.0,0.0,0.156745,0.0,0.5,-1.0,0.0,0.6567449999999999
SNTG2,ENSG00000172554,1.0,0.0,0.0,0.0,0.0,0.155845,0.0,-1.0,0.5,0.0,0.655845
CD53,ENSG00000143119,1.0,0.0,0.0,0.0,0.0,0.1552500000000002,0.0,0.5,-1.0,0.0,0.6552500000000001
FER,ENSG00000151422,0.0,0.0,1.0,1.0,0.0,0.6532850000000003,0.0,-1.0,-1.0,0.0,0.6532850000000003
SEL1L,ENSG00000071537,0.0,0.0,0.0,0.0,0.0,0.6473550000000003,0.0,1.0,-1.0,0.0,0.6473550000000003
WDHD1,ENSG00000198554,0.0,0.0,0.0,0.0,0.0,0.1452599999999996,0.0,0.5,0.0,0.0,0.6452599999999996
SH3BP1,ENSG00000100092,0.0,0.0,0.0,0.0,0.0,0.1440800000000003,0.0,0.5,0.0,0.0,0.6440800000000003
SLC8B1,ENSG00000089060,0.0,0.0,0.0,1.0,0.0,0.143835,0.0,0.5,-1.0,0.0,0.6438349999999999
GCHFR,ENSG00000137880,0.0,0.0,0.0,0.0,0.0,0.6428550000000002,0.0,1.0,-1.0,0.0,0.6428550000000002
ROBO1,ENSG00000169855,1.0,0.0,0.0,0.0,0.0,0.6426400000000001,0.0,-1.0,0.0,0.0,0.6426400000000001
GLUD1,ENSG00000148672,0.0,0.0,0.0,0.0,0.0,0.8924750000000004,0.0,0.75,-1.0,0.0,0.6424750000000004
EFHD1,ENSG00000115468,0.0,0.0,0.0,0.0,0.0,0.1422600000000002,0.0,0.5,0.0,0.0,0.6422600000000002
CDYL,ENSG00000153046,0.0,0.0,1.0,1.0,0.0,0.641545,0.0,-1.0,-1.0,0.0,0.6415449999999998
NDUFA5,ENSG00000128609,0.0,0.0,0.0,0.0,0.0,0.13793,0.0,0.5,-1.0,1.0,0.63793
DHRS1,ENSG00000157379,0.0,0.0,0.0,0.0,1.0,0.1373800000000002,0.0,0.5,-1.0,0.0,0.6373800000000003
STIM1,ENSG00000167323,0.0,0.0,1.0,1.0,0.0,0.622905,0.0,-1.0,-1.0,0.0,0.6229050000000003
XK,ENSG00000047597,0.0,0.0,0.0,0.0,0.0,0.12162,0.0,0.5,0.0,0.0,0.6216200000000001
COL12A1,ENSG00000111799,0.0,1.0,0.0,0.0,0.0,0.6196550000000002,0.0,-1.0,0.0,0.0,0.6196550000000003
DECR1,ENSG00000104325,0.0,0.0,0.0,0.0,1.0,0.1194049999999997,0.0,0.5,-1.0,0.0,0.6194049999999998
UNC5B,ENSG00000107731,1.0,0.0,0.0,0.0,0.0,0.61905,0.0,-1.0,0.0,0.0,0.6190500000000001
PGM1,ENSG00000079739,0.0,0.0,0.0,0.0,0.0,0.8665500000000002,0.0,0.75,-1.0,0.0,0.6165500000000002
BAX,ENSG00000087088,0.0,0.0,1.0,1.0,0.0,0.609375,0.0,-1.0,-1.0,0.0,0.609375
RCOR1,ENSG00000089902,0.0,0.0,1.0,1.0,0.0,0.6082450000000001,0.0,-1.0,-1.0,0.0,0.6082450000000001
NCOR1,ENSG00000141027,0.0,0.0,1.0,0.0,0.0,0.6065550000000002,1.0,-1.0,-1.0,0.0,0.6065550000000002
NCF1,ENSG00000158517,0.0,0.0,0.0,0.0,0.0,0.1025649999999998,0.0,0.5,0.0,0.0,0.6025649999999998
CCND2,ENSG00000118971,0.0,0.0,1.0,0.0,0.0,0.6020749999999999,0.0,-1.0,0.0,0.0,0.6020749999999999
KIF1B,ENSG00000054523,0.0,0.0,0.0,0.0,0.0,0.8513199999999997,0.0,0.75,-1.0,0.0,0.6013199999999999
HOXD1,ENSG00000128645,0.0,0.0,0.0,0.0,0.0,0.1006100000000003,0.0,0.5,0.0,0.0,0.6006100000000003
ALS2,ENSG00000003393,0.0,0.0,0.0,0.0,0.0,0.5986699999999999,0.0,1.0,-1.0,0.0,0.5986699999999998
ARNT,ENSG00000143437,0.0,0.0,1.0,1.0,0.0,0.5944249999999996,0.0,-1.0,-1.0,0.0,0.5944249999999998
CDKN2B,ENSG00000147883,0.0,0.0,0.0,0.0,0.0,0.0942050000000001,0.0,0.5,0.0,0.0,0.5942050000000001
NR4A1,ENSG00000123358,0.0,0.0,1.0,1.0,0.0,0.5902999999999998,0.0,-1.0,-1.0,0.0,0.5903
SPTLC1,ENSG00000090054,0.0,0.0,1.0,1.0,0.0,0.5877400000000002,0.0,-1.0,-1.0,0.0,0.5877400000000002
LYPLA1,ENSG00000120992,0.0,0.0,1.0,1.0,0.0,0.5869549999999997,0.0,-1.0,-1.0,0.0,0.5869549999999997
TNFAIP8L1,ENSG00000185361,0.0,0.0,0.0,0.0,0.0,0.0860199999999999,0.0,0.5,0.0,0.0,0.5860199999999999
BAHCC1,ENSG00000266074,0.0,0.0,0.0,0.0,0.0,0.0835900000000002,0.0,0.5,0.0,0.0,0.5835900000000002
